Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2000,SH_H20_SAFE,,,PT,,64.4
2005,SH_H20_SAFE,,,PT,,64.2
2011,SH_H20_SAFE,,,PT,,74.2
2014,SH_H20_SAFE,,,PT,,84.8
2017,SH_H20_SAFE,,,PT,,87.4
2021,SH_H20_SAFE,,,PT,,89.2
2024,SH_H20_SAFE,,,PT,,89.7
2011,SH_H20_SAFE,,U,PT,,86.4
2014,SH_H20_SAFE,,U,PT,,90.0
2017,SH_H20_SAFE,,U,PT,,95.8
2024,SH_H20_SAFE,,U,PT,,97.1
2000,SH_H20_SAFE,,R,PT,,61.7
2005,SH_H20_SAFE,,R,PT,,61.6
2011,SH_H20_SAFE,,R,PT,,72.1
2014,SH_H20_SAFE,,R,PT,,83.7
2017,SH_H20_SAFE,,R,PT,,85.4
2024,SH_H20_SAFE,,R,PT,,86.6
