Year,SERIES,REF_AREA,URBANISATION,GeoCode,Value
2005,SH_STA_BRTC,,,,38.6
2008,SH_STA_BRTC,,,,52.0
2010,SH_STA_BRTC,,,,69.0
2015,SH_STA_BRTC,,,,91.0
2020,SH_STA_BRTC,,,,94.2
2015,SH_STA_BRTC,,U,,96.9
2020,SH_STA_BRTC,,U,,98.1
2015,SH_STA_BRTC,,R,,89.4
2020,SH_STA_BRTC,,R,,93.5
2015,SH_STA_BRTC,1,,1,94.5
2020,SH_STA_BRTC,1,,1,97.3
2015,SH_STA_BRTC,2,,2,90.1
2020,SH_STA_BRTC,2,,2,92.9
2015,SH_STA_BRTC,3,,3,90.5
2020,SH_STA_BRTC,3,,3,93.8
2015,SH_STA_BRTC,4,,4,92.2
2020,SH_STA_BRTC,4,,4,96.7
2015,SH_STA_BRTC,5,,5,88.9
2020,SH_STA_BRTC,5,,5,93.0
