Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,A,0,_X,"Number of deaths due to disaster per 100,000 population",A,N,VC_DSR_MORT_1,,PER_100000_POP,,1.59
2017,A,0,_X,"Number of deaths due to disaster per 100,000 population",A,N,VC_DSR_MORT_1,,PER_100000_POP,,0.69
2018,A,0,_X,"Number of deaths due to disaster per 100,000 population",A,N,VC_DSR_MORT_1,,PER_100000_POP,,2.1
2019,A,0,_X,"Number of deaths due to disaster per 100,000 population",A,N,VC_DSR_MORT_1,,PER_100000_POP,,1.08
2020,A,0,_X,"Number of deaths due to disaster per 100,000 population",A,N,VC_DSR_MORT_1,,PER_100000_POP,,2.35
2021,A,0,_X,"Number of deaths due to disaster per 100,000 population",A,N,VC_DSR_MORT_1,,PER_100000_POP,,0.9
2022,A,0,_X,"Number of deaths due to disaster per 100,000 population",A,N,VC_DSR_MORT_1,,PER_100000_POP,,1.55
2023,A,0,_X,"Number of deaths due to disaster per 100,000 population",A,N,VC_DSR_MORT_1,,PER_100000_POP,,1.8
2024,A,0,_X,"Number of deaths due to disaster per 100,000 population",A,N,VC_DSR_MORT_1,,PER_100000_POP,,1.38
2016,A,0,_X,"Number of persons injured or missing due to disaster per 100,000 population",A,N,VC_DSR_AFFCT_1,,PER_100000_POP,,1.51
2017,A,0,_X,"Number of persons injured or missing due to disaster per 100,000 population",A,N,VC_DSR_AFFCT_1,,PER_100000_POP,,1.28
2018,A,0,_X,"Number of persons injured or missing due to disaster per 100,000 population",A,N,VC_DSR_AFFCT_1,,PER_100000_POP,,2.86
2019,A,0,_X,"Number of persons injured or missing due to disaster per 100,000 population",A,N,VC_DSR_AFFCT_1,,PER_100000_POP,,2.19
2020,A,0,_X,"Number of persons injured or missing due to disaster per 100,000 population",A,N,VC_DSR_AFFCT_1,,PER_100000_POP,,3.27
2021,A,0,_X,"Number of persons injured or missing due to disaster per 100,000 population",A,N,VC_DSR_AFFCT_1,,PER_100000_POP,,1.91
2022,A,0,_X,"Number of persons injured or missing due to disaster per 100,000 population",A,N,VC_DSR_AFFCT_1,,PER_100000_POP,,3.04
2023,A,0,_X,"Number of persons injured or missing due to disaster per 100,000 population",A,N,VC_DSR_AFFCT_1,,PER_100000_POP,,3.01
2024,A,0,_X,"Number of persons injured or missing due to disaster per 100,000 population",A,N,VC_DSR_AFFCT_1,,PER_100000_POP,,3.25
