Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2000,Percentage of households using improved drinking water source [6.1.1],,,Percent,,64.4
2005,Percentage of households using improved drinking water source [6.1.1],,,Percent,,64.2
2011,Percentage of households using improved drinking water source [6.1.1],,,Percent,,74.2
2014,Percentage of households using improved drinking water source [6.1.1],,,Percent,,84.8
2017,Percentage of households using improved drinking water source [6.1.1],,,Percent,,87.4
2021,Percentage of households using improved drinking water source [6.1.1],,,Percent,,89.2
2024,Percentage of households using improved drinking water source [6.1.1],,,Percent,,89.7
2011,Percentage of households using improved drinking water source [6.1.1],,Urban,Percent,,86.4
2014,Percentage of households using improved drinking water source [6.1.1],,Urban,Percent,,90.0
2017,Percentage of households using improved drinking water source [6.1.1],,Urban,Percent,,95.8
2024,Percentage of households using improved drinking water source [6.1.1],,Urban,Percent,,97.1
2000,Percentage of households using improved drinking water source [6.1.1],,Rural,Percent,,61.7
2005,Percentage of households using improved drinking water source [6.1.1],,Rural,Percent,,61.6
2011,Percentage of households using improved drinking water source [6.1.1],,Rural,Percent,,72.1
2014,Percentage of households using improved drinking water source [6.1.1],,Rural,Percent,,83.7
2017,Percentage of households using improved drinking water source [6.1.1],,Rural,Percent,,85.4
2024,Percentage of households using improved drinking water source [6.1.1],,Rural,Percent,,86.6
