Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2005,SP_LGL_LNDDOC,,,PT,,70.8
2011,SP_LGL_LNDDOC,,,PT,,84.0
2014,SP_LGL_LNDDOC,,,PT,,84.9
2017,SP_LGL_LNDDOC,,,PT,,79.5
2020,SP_LGL_LNDDOC,,,PT,,76.1
2024,SP_LGL_LNDDOC,,,PT,,81.2
2011,SP_LGL_LNDDOC,,M,PT,,85.6
2014,SP_LGL_LNDDOC,,M,PT,,86.2
2017,SP_LGL_LNDDOC,,M,PT,,80.2
2020,SP_LGL_LNDDOC,,M,PT,,77.0
2024,SP_LGL_LNDDOC,,M,PT,,79.2
2011,SP_LGL_LNDDOC,,F,PT,,79.9
2014,SP_LGL_LNDDOC,,F,PT,,79.2
2017,SP_LGL_LNDDOC,,F,PT,,77.4
2020,SP_LGL_LNDDOC,,F,PT,,75.4
2024,SP_LGL_LNDDOC,,F,PT,,82.7
