Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2014,Percentage of households with primary reliance on clean cooking fuels [7.1.2],,,Percent,,0.2
2017,Percentage of households with primary reliance on clean cooking fuels [7.1.2],,,Percent,,1.1
2021,Percentage of households with primary reliance on clean cooking fuels [7.1.2],,,Percent,,4.2
2024,Percentage of households with primary reliance on clean cooking fuels [7.1.2],,,Percent,,5.4
2014,Percentage of households with primary reliance on clean cooking fuels [7.1.2],,Urban,Percent,,0.7
2017,Percentage of households with primary reliance on clean cooking fuels [7.1.2],,Urban,Percent,,5.0
2024,Percentage of households with primary reliance on clean cooking fuels [7.1.2],,Urban,Percent,,16.8
2014,Percentage of households with primary reliance on clean cooking fuels [7.1.2],,Rural,Percent,,0.1
2017,Percentage of households with primary reliance on clean cooking fuels [7.1.2],,Rural,Percent,,0.2
2024,Percentage of households with primary reliance on clean cooking fuels [7.1.2],,Rural,Percent,,0.8
