Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2018,Normal value,Units,Not Available,Number of Houses damaged by disaster,Annual,National,Number of Houses damaged by disaster,,Number,,15910.0
2019,Normal value,Units,Not Available,Number of Houses damaged by disaster,Annual,National,Number of Houses damaged by disaster,,Number,,5691.0
2020,Normal value,Units,Not Available,Number of Houses damaged by disaster,Annual,National,Number of Houses damaged by disaster,,Number,,8098.0
2021,Normal value,Units,Not Available,Number of Houses damaged by disaster,Annual,National,Number of Houses damaged by disaster,,Number,,4808.0
2022,Normal value,Units,Not Available,Number of Houses damaged by disaster,Annual,National,Number of Houses damaged by disaster,,Number,,4156.0
2023,Normal value,Units,Not Available,Number of Houses damaged by disaster,Annual,National,Number of Houses damaged by disaster,,Number,,9955.0
2024,Normal value,Units,Not Available,Number of Houses damaged by disaster,Annual,National,Number of Houses damaged by disaster,,Number,,2005.0
2018,Normal value,Units,Not Available,Number of Ha for crops damaged,Annual,National,Number of Ha for crops damaged by disaster,,Number,,13337.0
2019,Normal value,Units,Not Available,Number of Ha for crops damaged,Annual,National,Number of Ha for crops damaged by disaster,,Number,,10610.0
2020,Normal value,Units,Not Available,Number of Ha for crops damaged,Annual,National,Number of Ha for crops damaged by disaster,,Number,,4661.5
2021,Normal value,Units,Not Available,Number of Ha for crops damaged,Annual,National,Number of Ha for crops damaged by disaster,,Number,,3802.3
2022,Normal value,Units,Not Available,Number of Ha for crops damaged,Annual,National,Number of Ha for crops damaged by disaster,,Number,,1917.7
2023,Normal value,Units,Not Available,Number of Ha for crops damaged,Annual,National,Number of Ha for crops damaged by disaster,,Number,,2176.3
2024,Normal value,Units,Not Available,Number of Ha for crops damaged,Annual,National,Number of Ha for crops damaged by disaster,,Number,,1355.3
2018,Normal value,Units,Not Available,Number of Classrooms damaged,Annual,National,Number of Classrooms damaged by disaster,,Number,,73.0
2019,Normal value,Units,Not Available,Number of Classrooms damaged,Annual,National,Number of Classrooms damaged by disaster,,Number,,203.0
2020,Normal value,Units,Not Available,Number of Classrooms damaged,Annual,National,Number of Classrooms damaged by disaster,,Number,,96.0
2021,Normal value,Units,Not Available,Number of Classrooms damaged,Annual,National,Number of Classrooms damaged by disaster,,Number,,381.0
2022,Normal value,Units,Not Available,Number of Classrooms damaged,Annual,National,Number of Classrooms damaged by disaster,,Number,,323.0
2023,Normal value,Units,Not Available,Number of Classrooms damaged,Annual,National,Number of Classrooms damaged by disaster,,Number,,154.0
2024,Normal value,Units,Not Available,Number of Classrooms damaged,Annual,National,Number of Classrooms damaged by disaster,,Number,,81.0
2018,Normal value,Units,Not Available,Number of Health Centers damaged,Annual,National,Number of Health Centers damaged by disaster,,Number,,3.0
2019,Normal value,Units,Not Available,Number of Health Centers damaged,Annual,National,Number of Health Centers damaged by disaster,,Number,,1.0
2020,Normal value,Units,Not Available,Number of Health Centers damaged,Annual,National,Number of Health Centers damaged by disaster,,Number,,4.0
2021,Normal value,Units,Not Available,Number of Health Centers damaged,Annual,National,Number of Health Centers damaged by disaster,,Number,,3.0
2022,Normal value,Units,Not Available,Number of Health Centers damaged,Annual,National,Number of Health Centers damaged by disaster,,Number,,1.0
2023,Normal value,Units,Not Available,Number of Health Centers damaged,Annual,National,Number of Health Centers damaged by disaster,,Number,,5.0
2024,Normal value,Units,Not Available,Number of Health Centers damaged,Annual,National,Number of Health Centers damaged by disaster,,Number,,2.0
