Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2013,Normal value,Units,Not Available,Death rate due to road traffic injuries,Annual,National,Death rate due to road traffic injuries [3.6.1],,"Per 100,000 population",,2.9
2014,Normal value,Units,Not Available,Death rate due to road traffic injuries,Annual,National,Death rate due to road traffic injuries [3.6.1],,"Per 100,000 population",,3.3
2015,Normal value,Units,Not Available,Death rate due to road traffic injuries,Annual,National,Death rate due to road traffic injuries [3.6.1],,"Per 100,000 population",,5.2
2016,Normal value,Units,Not Available,Death rate due to road traffic injuries,Annual,National,Death rate due to road traffic injuries [3.6.1],,"Per 100,000 population",,5.1
2017,Normal value,Units,Not Available,Death rate due to road traffic injuries,Annual,National,Death rate due to road traffic injuries [3.6.1],,"Per 100,000 population",,4.6
2018,Normal value,Units,Not Available,Death rate due to road traffic injuries,Annual,National,Death rate due to road traffic injuries [3.6.1],,"Per 100,000 population",,4.9
2019,Normal value,Units,Not Available,Death rate due to road traffic injuries,Annual,National,Death rate due to road traffic injuries [3.6.1],,"Per 100,000 population",,5.4
2020,Normal value,Units,Not Available,Death rate due to road traffic injuries,Annual,National,Death rate due to road traffic injuries [3.6.1],,"Per 100,000 population",,5.2
2021,Normal value,Units,Not Available,Death rate due to road traffic injuries,Annual,National,Death rate due to road traffic injuries [3.6.1],,"Per 100,000 population",,4.9
2022,Normal value,Units,Not Available,Death rate due to road traffic injuries,Annual,National,Death rate due to road traffic injuries [3.6.1],,"Per 100,000 population",,6.0
2023,Normal value,Units,Not Available,Death rate due to road traffic injuries,Annual,National,Death rate due to road traffic injuries [3.6.1],,"Per 100,000 population",,5.9
2013,Normal value,Units,Not Available,Number of deaths rate due to road traffic injuries,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],,Number,,315.0
2014,Normal value,Units,Not Available,Number of deaths rate due to road traffic injuries,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],,Number,,366.0
2015,Normal value,Units,Not Available,Number of deaths rate due to road traffic injuries,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],,Number,,351.0
2016,Normal value,Units,Not Available,Number of deaths rate due to road traffic injuries,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],,Number,,593.0
2017,Normal value,Units,Not Available,Number of deaths rate due to road traffic injuries,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],,Number,,549.0
2018,Normal value,Units,Not Available,Number of deaths rate due to road traffic injuries,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],,Number,,597.0
2019,Normal value,Units,Not Available,Number of deaths rate due to road traffic injuries,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],,Number,,673.0
2020,Normal value,Units,Not Available,Number of deaths rate due to road traffic injuries,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],,Number,,675.0
2021,Normal value,Units,Not Available,Number of deaths rate due to road traffic injuries,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],,Number,,663.0
2022,Normal value,Units,Not Available,Number of deaths rate due to road traffic injuries,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],,Number,,794.0
2023,Normal value,Units,Not Available,Number of deaths rate due to road traffic injuries,Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],,Number,,794.0
