Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2000,Percentage of households using improved sanitation [6.2.1],,,Percent,,51.5
2005,Percentage of households using improved sanitation [6.2.1],,,Percent,,58.5
2011,Percentage of households using improved sanitation [6.2.1],,,Percent,,74.5
2014,Percentage of households using improved sanitation [6.2.1],,,Percent,,83.4
2017,Percentage of households using improved sanitation [6.2.1],,,Percent,,86.2
2021,Percentage of households using improved sanitation [6.2.1],,,Percent,,89.6
2024,Percentage of households using improved sanitation [6.2.1],,,Percent,,94.3
2011,Percentage of households using improved sanitation [6.2.1],,Urban,Percent,,87.4
2014,Percentage of households using improved sanitation [6.2.1],,Urban,Percent,,93.5
2017,Percentage of households using improved sanitation [6.2.1],,Urban,Percent,,93.6
2024,Percentage of households using improved sanitation [6.2.1],,Urban,Percent,,98.2
2000,Percentage of households using improved sanitation [6.2.1],,Rural,Percent,,47.5
2005,Percentage of households using improved sanitation [6.2.1],,Rural,Percent,,55.3
2011,Percentage of households using improved sanitation [6.2.1],,Rural,Percent,,72.2
2014,Percentage of households using improved sanitation [6.2.1],,Rural,Percent,,81.3
2017,Percentage of households using improved sanitation [6.2.1],,Rural,Percent,,84.4
2024,Percentage of households using improved sanitation [6.2.1],,Rural,Percent,,92.7
2010,Percentage of population with basic handwashing facilities on premises,,,Percent,,2.1
2015,Percentage of population with basic handwashing facilities on premises,,,Percent,,4.3
2019,Percentage of population with basic handwashing facilities on premises,,,Percent,,25.1
2010,Percentage of population with basic handwashing facilities on premises,,Urban,Percent,,6.0
2015,Percentage of population with basic handwashing facilities on premises,,Urban,Percent,,13.0
2019,Percentage of population with basic handwashing facilities on premises,,Urban,Percent,,36.8
2010,Percentage of population with basic handwashing facilities on premises,,Rural,Percent,,1.5
2015,Percentage of population with basic handwashing facilities on premises,,Rural,Percent,,2.5
2019,Percentage of population with basic handwashing facilities on premises,,Rural,Percent,,22.7
