Year,SERIES,Reference area,GeoCode,Value
2015,Suicide mortality rate [3.4.2],,,1.4
2016,Suicide mortality rate [3.4.2],,,1.6
2017,Suicide mortality rate [3.4.2],,,1.6
2018,Suicide mortality rate [3.4.2],,,1.8
2019,Suicide mortality rate [3.4.2],,,1.9
2020,Suicide mortality rate [3.4.2],,,2.3
2021,Suicide mortality rate [3.4.2],,,2.7
2022,Suicide mortality rate [3.4.2],,,2.8
2015,Number of deaths attributed to suicide [3.4.2],,,157.0
2016,Number of deaths attributed to suicide [3.4.2],,,181.0
2017,Number of deaths attributed to suicide [3.4.2],,,193.0
2018,Number of deaths attributed to suicide [3.4.2],,,226.0
2019,Number of deaths attributed to suicide [3.4.2],,,241.0
2020,Number of deaths attributed to suicide [3.4.2],,,298.0
2021,Number of deaths attributed to suicide [3.4.2],,,353.0
2022,Number of deaths attributed to suicide [3.4.2],,,370.0
