Year,COMMENT_OBS,Series,Value
2016,Regulatory capital to assets (%) - CAR,Regulatory capital to assets (%) [10.5.1],23.34
2018,Regulatory capital to assets (%) - CAR,Regulatory capital to assets (%) [10.5.1],25.5
2019,Regulatory capital to assets (%) - CAR,Regulatory capital to assets (%) [10.5.1],24.1
2020,Regulatory capital to assets (%) - CAR,Regulatory capital to assets (%) [10.5.1],22.5
2016,Regulatory Tier 1 capital to risk-weighted assets (%) - CAR Tier I,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],20.68
2018,Regulatory Tier 1 capital to risk-weighted assets (%) - CAR Tier I,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],20.84
2019,Regulatory Tier 1 capital to risk-weighted assets (%) - CAR Tier I,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],22.6
2020,Regulatory Tier 1 capital to risk-weighted assets (%) - CAR Tier I,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],21.4
2016,Non-performing loans net of provisions to capital (%),Non-performing loans net of provisions to capital (%) [10.5.1],17.05
2018,Non-performing loans net of provisions to capital (%),Non-performing loans net of provisions to capital (%) [10.5.1],10.97
2019,Non-performing loans net of provisions to capital (%),Non-performing loans net of provisions to capital (%) [10.5.1],10.97
2020,Non-performing loans net of provisions to capital (%),Non-performing loans net of provisions to capital (%) [10.5.1],5.7
2016,Non-performing loans to total gross loans (%),Non-performing loans to total gross loans (%) [10.5.1],7.56
2018,Non-performing loans to total gross loans (%),Non-performing loans to total gross loans (%) [10.5.1],6.4
2019,Non-performing loans to total gross loans (%),Non-performing loans to total gross loans (%) [10.5.1],4.9
2020,Non-performing loans to total gross loans (%),Non-performing loans to total gross loans (%) [10.5.1],99.0
2016,Return on assets (%),Return on assets (%) [10.5.1],2.62
2018,Return on assets (%),Return on assets (%) [10.5.1],2.8
2019,Return on assets (%),Return on assets (%) [10.5.1],12.5
2020,Return on assets (%),Return on assets (%) [10.5.1],2.5
2016,Liquid assets to short term liabilities (%),Liquid assets to short term liabilities (%) [10.5.1],111.87
2018,Liquid assets to short term liabilities (%),Liquid assets to short term liabilities (%) [10.5.1],129.55
2019,Liquid assets to short term liabilities (%),Liquid assets to short term liabilities (%) [10.5.1],180.5
2020,Liquid assets to short term liabilities (%),Liquid assets to short term liabilities (%) [10.5.1],226.2
2016,Net open position in foreign exchange to capital (%),Net open position in foreign exchange to capital (%) [10.5.1],-1.61
2018,Net open position in foreign exchange to capital (%),Net open position in foreign exchange to capital (%) [10.5.1],-9.09
2019,Net open position in foreign exchange to capital (%),Net open position in foreign exchange to capital (%) [10.5.1],-4.0
2020,Net open position in foreign exchange to capital (%),Net open position in foreign exchange to capital (%) [10.5.1],-4.7
