Year,SERIES,Reference area,GeoCode,Value
2013,Death rate due to road traffic injuries [3.6.1],,,2.9
2014,Death rate due to road traffic injuries [3.6.1],,,3.3
2015,Death rate due to road traffic injuries [3.6.1],,,5.2
2016,Death rate due to road traffic injuries [3.6.1],,,5.1
2017,Death rate due to road traffic injuries [3.6.1],,,4.6
2018,Death rate due to road traffic injuries [3.6.1],,,4.9
2019,Death rate due to road traffic injuries [3.6.1],,,5.4
2020,Death rate due to road traffic injuries [3.6.1],,,5.2
2021,Death rate due to road traffic injuries [3.6.1],,,4.9
2022,Death rate due to road traffic injuries [3.6.1],,,6.0
2023,Death rate due to road traffic injuries [3.6.1],,,5.9
2013,Number of deaths rate due to road traffic injuries [3.6.1],,,315.0
2014,Number of deaths rate due to road traffic injuries [3.6.1],,,366.0
2015,Number of deaths rate due to road traffic injuries [3.6.1],,,351.0
2016,Number of deaths rate due to road traffic injuries [3.6.1],,,593.0
2017,Number of deaths rate due to road traffic injuries [3.6.1],,,549.0
2018,Number of deaths rate due to road traffic injuries [3.6.1],,,597.0
2019,Number of deaths rate due to road traffic injuries [3.6.1],,,673.0
2020,Number of deaths rate due to road traffic injuries [3.6.1],,,675.0
2021,Number of deaths rate due to road traffic injuries [3.6.1],,,663.0
2022,Number of deaths rate due to road traffic injuries [3.6.1],,,794.0
2023,Number of deaths rate due to road traffic injuries [3.6.1],,,794.0
