Year,Value,GeoCode,SERIES
2015,1.4,,Suicide mortality rate [3.4.2]
2016,1.6,,Suicide mortality rate [3.4.2]
2017,1.6,,Suicide mortality rate [3.4.2]
2018,1.8,,Suicide mortality rate [3.4.2]
2019,1.9,,Suicide mortality rate [3.4.2]
2020,2.3,,Suicide mortality rate [3.4.2]
2021,2.7,,Suicide mortality rate [3.4.2]
2022,2.8,,Suicide mortality rate [3.4.2]
2015,157.0,,Number of deaths attributed to suicide [3.4.2]
2016,181.0,,Number of deaths attributed to suicide [3.4.2]
2017,193.0,,Number of deaths attributed to suicide [3.4.2]
2018,226.0,,Number of deaths attributed to suicide [3.4.2]
2019,241.0,,Number of deaths attributed to suicide [3.4.2]
2020,298.0,,Number of deaths attributed to suicide [3.4.2]
2021,353.0,,Number of deaths attributed to suicide [3.4.2]
2022,370.0,,Number of deaths attributed to suicide [3.4.2]
