Year,Value,GeoCode,SERIES
2013,2.9,,Death rate due to road traffic injuries [3.6.1]
2014,3.3,,Death rate due to road traffic injuries [3.6.1]
2015,5.2,,Death rate due to road traffic injuries [3.6.1]
2016,5.1,,Death rate due to road traffic injuries [3.6.1]
2017,4.6,,Death rate due to road traffic injuries [3.6.1]
2018,4.9,,Death rate due to road traffic injuries [3.6.1]
2019,5.4,,Death rate due to road traffic injuries [3.6.1]
2020,5.2,,Death rate due to road traffic injuries [3.6.1]
2021,4.9,,Death rate due to road traffic injuries [3.6.1]
2022,6.0,,Death rate due to road traffic injuries [3.6.1]
2023,5.9,,Death rate due to road traffic injuries [3.6.1]
2013,315.0,,Number of deaths rate due to road traffic injuries [3.6.1]
2014,366.0,,Number of deaths rate due to road traffic injuries [3.6.1]
2015,351.0,,Number of deaths rate due to road traffic injuries [3.6.1]
2016,593.0,,Number of deaths rate due to road traffic injuries [3.6.1]
2017,549.0,,Number of deaths rate due to road traffic injuries [3.6.1]
2018,597.0,,Number of deaths rate due to road traffic injuries [3.6.1]
2019,673.0,,Number of deaths rate due to road traffic injuries [3.6.1]
2020,675.0,,Number of deaths rate due to road traffic injuries [3.6.1]
2021,663.0,,Number of deaths rate due to road traffic injuries [3.6.1]
2022,794.0,,Number of deaths rate due to road traffic injuries [3.6.1]
2023,794.0,,Number of deaths rate due to road traffic injuries [3.6.1]
