Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,GeoCode,Value
2000,SH_DYN_MORT,,,Y0T4,,PER_1000_LIVE_BIRTHS,,196
2005,SH_DYN_MORT,,,Y0T4,,PER_1000_LIVE_BIRTHS,,152
2008,SH_DYN_MORT,,,Y0T4,,PER_1000_LIVE_BIRTHS,,103
2010,SH_DYN_MORT,,,Y0T4,,PER_1000_LIVE_BIRTHS,,76
2015,SH_DYN_MORT,,,Y0T4,,PER_1000_LIVE_BIRTHS,,50
2020,SH_DYN_MORT,,,Y0T4,,PER_1000_LIVE_BIRTHS,,45
2020,SH_DYN_MORT,,M,Y0T4,,PER_1000_LIVE_BIRTHS,,47
2020,SH_DYN_MORT,,F,Y0T4,,PER_1000_LIVE_BIRTHS,,43
2008,SH_DYN_MORT,,,Y0T4,U,PER_1000_LIVE_BIRTHS,,87
2010,SH_DYN_MORT,,,Y0T4,U,PER_1000_LIVE_BIRTHS,,81
2015,SH_DYN_MORT,,,Y0T4,U,PER_1000_LIVE_BIRTHS,,51
2020,SH_DYN_MORT,,,Y0T4,U,PER_1000_LIVE_BIRTHS,,35
2008,SH_DYN_MORT,,,Y0T4,R,PER_1000_LIVE_BIRTHS,,142
2010,SH_DYN_MORT,,,Y0T4,R,PER_1000_LIVE_BIRTHS,,105
2015,SH_DYN_MORT,,,Y0T4,R,PER_1000_LIVE_BIRTHS,,70
2020,SH_DYN_MORT,,,Y0T4,R,PER_1000_LIVE_BIRTHS,,48
2008,SH_DYN_MORT,1,,Y0T4,,PER_1000_LIVE_BIRTHS,1,102
2010,SH_DYN_MORT,1,,Y0T4,,PER_1000_LIVE_BIRTHS,1,79
2015,SH_DYN_MORT,1,,Y0T4,,PER_1000_LIVE_BIRTHS,1,42
2020,SH_DYN_MORT,1,,Y0T4,,PER_1000_LIVE_BIRTHS,1,31
2008,SH_DYN_MORT,2,,Y0T4,,PER_1000_LIVE_BIRTHS,2,127
2010,SH_DYN_MORT,2,,Y0T4,,PER_1000_LIVE_BIRTHS,2,96
2015,SH_DYN_MORT,2,,Y0T4,,PER_1000_LIVE_BIRTHS,2,66
2020,SH_DYN_MORT,2,,Y0T4,,PER_1000_LIVE_BIRTHS,2,56
2008,SH_DYN_MORT,3,,Y0T4,,PER_1000_LIVE_BIRTHS,3,129
2010,SH_DYN_MORT,3,,Y0T4,,PER_1000_LIVE_BIRTHS,3,88
2015,SH_DYN_MORT,3,,Y0T4,,PER_1000_LIVE_BIRTHS,3,62
2020,SH_DYN_MORT,3,,Y0T4,,PER_1000_LIVE_BIRTHS,3,44
2008,SH_DYN_MORT,4,,Y0T4,,PER_1000_LIVE_BIRTHS,4,115
2010,SH_DYN_MORT,4,,Y0T4,,PER_1000_LIVE_BIRTHS,4,107
2015,SH_DYN_MORT,4,,Y0T4,,PER_1000_LIVE_BIRTHS,4,60
2020,SH_DYN_MORT,4,,Y0T4,,PER_1000_LIVE_BIRTHS,4,57
2008,SH_DYN_MORT,5,,Y0T4,,PER_1000_LIVE_BIRTHS,5,174
2010,SH_DYN_MORT,5,,Y0T4,,PER_1000_LIVE_BIRTHS,5,125
2015,SH_DYN_MORT,5,,Y0T4,,PER_1000_LIVE_BIRTHS,5,86
2020,SH_DYN_MORT,5,,Y0T4,,PER_1000_LIVE_BIRTHS,5,56
